Lat,Long,Zip
-97.74736,30.22284,73301
-97.73,30.18,73344
-97.74439,30.27292,78701
-97.71452,30.26035,78702
-97.76884,30.29153,78703
-97.76884,30.24567,78704
-97.73895,30.29617,78705
-97.70512,30.39117,78708
-97.85,30.23,78709
-97.66431,30.33925,78710
-97.73844,30.27811,78711
-97.73488,30.28352,78712
-97.74,30.28,78713
-97.76702,30.29745,78714
-97.8,30.21,78715
-97.79858,30.2731,78716
-97.77427,30.49166,78717
-97.70512,30.39117,78718
-97.68194,30.15903,78719
-97.75628,30.42332,78720
-97.68194,30.27374,78721
-97.7118,30.29204,78722
-97.68194,30.30813,78723
-97.62227,30.29443,78724
-97.61684,30.23167,78725
-97.83952,30.41906,78726
-97.71452,30.43224,78727
-97.68194,30.45707,78728
-97.7471,30.46466,78729
-97.83952,30.37325,78730
-97.77427,30.35424,78731
-97.89237,30.37886,78732
-97.86672,30.33152,78733
-97.94839,30.36667,78734
-97.86128,30.25735,78735
-97.94839,30.25209,78736
-97.97018,30.18197,78737
-97.97018,30.2966,78738
-97.90482,30.18593,78739
-97.71452,30.22595,78741
-97.66024,30.24061,78742
-97.73081,30.19631,78744
-97.79601,30.21539,78745
-97.81776,30.30581,78746
-97.73081,30.12746,78747
-97.81776,30.16821,78748
-97.85584,30.21755,78749
-97.80145,30.42707,78750
-97.72538,30.30557,78751
-97.70516,30.33173,78752
-97.67109,30.38899,78753
-97.64939,30.35589,78754
-97.75372,30.35371,78755
-97.73895,30.32483,78756
-97.73624,30.35077,78757
-97.70366,30.38707,78758
-97.75254,30.40136,78759
-97.73426,30.21403,78760
-97.69887,30.33346,78761
-97.7222,30.26164,78762
-97.77,30.3,78763
-97.74,30.27,78764
-97.74375,30.30409,78765
-97.73606,30.35393,78766
-97.74,30.27,78767
-97.74,30.27,78768
-97.74,30.27,78769
-97.74778,30.21897,78772
-97.7,30.33,78773
-97.73868,30.27868,78774
-97.73944,30.2769,78778
-97.75498,30.31612,78779
-97.74,30.27,78780
-97.74,30.27,78781
-97.74,30.27,78783
-97.74,30.27,78785
-97.74,30.27,78789
-97.74,30.27,78799
